ID,JournalLineNumber,Year,TransactionJournalEntryDescription,PostedDate,EffectiveDate,GeneralLedgerAccountNumber,AccountDescription,TransactionAmount,DebitCreditIndicator,Vendname
102,1,2016,NULL,47:00.0,15-02-2016,70500-6010              ,Advertising - Web                  ,5026.19,DR,MICROSOFT *BING AD800-518-5689 NV            
106,1,2016,NULL,47:00.0,16-02-2016,70500-6010              ,Advertising - Web                  ,4000,DR,GOOGLE ADW MOUNTAIN VIEW                     
110,1,2016,NULL,48:00.0,16-02-2016,70500-6010              ,Advertising - Web                  ,4000,DR,GOOGLE ADW MOUNTAIN VIEW                     
114,1,2016,NULL,49:00.0,17-02-2016,70500-6010              ,Advertising - Web                  ,4000,DR,GOOGLE ADW MOUNTAIN VIEW                     
187,1,2020,NULL,57:00.0,14-03-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
191,2,2020,NULL,21:00.0,08-06-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
199,1,2020,NULL,23:00.0,09-06-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
203,2,2020,NULL,23:00.0,09-06-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
207,3,2020,NULL,24:00.0,09-06-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
363,1,2020,NULL,55:00.0,31-01-2020,70101-6010              ,Advertising Allocation Account     ,6000,DR,MEDIAFORCE CREATIVE GROUP                    
385,1,2020,NULL,54:00.0,04-02-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
389,2,2020,NULL,54:00.0,04-02-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
425,1,2020,NULL,00:00.0,16-03-2020,70500-6010              ,Advertising - Web                  ,3000.78,DR,MICROSOFT *BING AD800-518-5689 NV            
429,1,2020,NULL,00:00.0,16-03-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
557,1,2020,NULL,23:00.0,18-07-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
561,2,2020,NULL,23:00.0,18-07-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
565,1,2020,NULL,25:00.0,17-07-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
569,2,2020,NULL,26:00.0,17-07-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
573,3,2020,NULL,26:00.0,17-07-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
585,1,2020,NULL,32:00.0,18-07-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
611,3,2020,NULL,54:00.0,04-02-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
811,1,2020,NULL,33:00.0,19-07-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
815,2,2020,NULL,34:00.0,19-07-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
819,1,2020,NULL,36:00.0,19-07-2020,70500-6010              ,Advertising - Web                  ,159.98,DR,"GOOGLE.COM, CA                               "
851,1,2020,NULL,49:00.0,03-08-2020,70500-6010              ,Advertising - Web                  ,4500,DR,BOOST MEDIA GROUP                            
905,4,2020,NULL,05:00.0,10-02-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
1083,1,2020,NULL,44:00.0,24-07-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
1087,2,2020,NULL,44:00.0,24-07-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
1095,1,2020,NULL,46:00.0,25-07-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
1099,2,2020,NULL,46:00.0,25-07-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
1103,3,2020,NULL,46:00.0,25-07-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
1199,2,2020,NULL,04:00.0,11-04-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
1203,1,2020,NULL,06:00.0,13-04-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
1207,2,2020,NULL,06:00.0,13-04-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
1327,1,2020,NULL,50:00.0,26-07-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
1331,1,2020,NULL,50:00.0,27-07-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
1395,1,2016,Inv-70116212                       ,06:00.0,01-02-2016,70300-6010              ,Advertising - Television           ,1615,DR,SPECTRUM REACH                               
1397,2,2016,Inv-70126213                       ,07:00.0,01-02-2016,70300-6010              ,Advertising - Television           ,4419.97,DR,SPECTRUM REACH                               
1471,1,2016,NULL,14:00.0,04-01-2016,70500-6010              ,Advertising - Web                  ,4000,DR,GOOGLE ADW MOUNTAIN VIEW                     
1475,1,2016,NULL,14:00.0,04-01-2016,70101-6010              ,Advertising Allocation Account     ,4000,DR,GOOGLE ADW MOUNTAIN VIEW                     
1589,1,2016,NULL,31:00.0,02-02-2016,70500-6010              ,Advertising - Web                  ,4000,DR,GOOGLE ADW MOUNTAIN VIEW                     
1626,1,2020,NULL,14:00.0,22-02-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
1630,2,2020,NULL,15:00.0,22-02-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
1634,3,2020,NULL,15:00.0,22-02-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
1713,1,2016,NULL,41:00.0,09-02-2016,70500-6010              ,Advertising - Web                  ,4000,DR,GOOGLE ADW MOUNTAIN VIEW                     
1717,1,2016,NULL,42:00.0,09-02-2016,70500-6010              ,Advertising - Web                  ,4000,DR,GOOGLE ADW MOUNTAIN VIEW                     
1727,1,2020,KXAS accrual for Sept 28-30'20     ,34:00.0,01-10-2020,70300-6010              ,Advertising - Television           ,-7225,CR,NULL
2069,1,2016,NULL,47:00.0,22-01-2016,70101-6010              ,Advertising Allocation Account     ,258.72,DR,GRAPHIC SPECIALISTS GROUP LLC                
2097,1,2020,KXAS accrual for 12/30-31 spots    ,19:00.0,01-01-2020,70300-6010              ,Advertising - Television           ,-1445,CR,NULL
2143,3,2020,LeadsBridge                        ,23:00.0,30-04-2020,70101-6010              ,Advertising Allocation Account     ,499,DR,JAMES SHARP                                  
2145,4,2020,Camber Direct Mail Previous Cleint ,24:00.0,30-04-2020,70101-6010              ,Advertising Allocation Account     ,1095,DR,JAMES SHARP                                  
2147,5,2020,Camber                             ,25:00.0,30-04-2020,70101-6010              ,Advertising Allocation Account     ,15390,DR,JAMES SHARP                                  
2151,7,2020,Cloudfare                          ,26:00.0,30-04-2020,70101-6010              ,Advertising Allocation Account     ,213.2,DR,JAMES SHARP                                  
2185,1,2016,NULL,42:00.0,13-02-2016,70500-6010              ,Advertising - Web                  ,4000,DR,GOOGLE ADW MOUNTAIN VIEW                     
2189,1,2016,NULL,42:00.0,13-02-2016,70500-6010              ,Advertising - Web                  ,4000,DR,GOOGLE ADW MOUNTAIN VIEW                     
2197,1,2016,NULL,44:00.0,14-02-2016,70500-6010              ,Advertising - Web                  ,4000,DR,GOOGLE ADW MOUNTAIN VIEW                     
2201,1,2016,NULL,44:00.0,14-02-2016,70500-6010              ,Advertising - Web                  ,4000,DR,GOOGLE ADW MOUNTAIN VIEW                     
2209,1,2016,NULL,46:00.0,15-02-2016,70500-6010              ,Advertising - Web                  ,4000,DR,GOOGLE ADW MOUNTAIN VIEW                     
2215,1,2020,NULL,16:00.0,09-07-2020,70101-6010              ,Advertising Allocation Account     ,4029.48,DR,TOP OF MIND NETWORKS LLC                     
2370,1,2016,NULL,56:00.0,01-01-2016,70500-6010              ,Advertising - Web                  ,50,DR,YAHOO AD MANAGER                             
2406,2,2020,NULL,50:00.0,05-05-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
2410,1,2020,NULL,51:00.0,06-05-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
2414,2,2020,NULL,52:00.0,06-05-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
2464,1,2020,NULL,42:00.0,01-08-2020,70300-6010              ,Advertising - Television           ,13387.5,DR,KDFW FOX 4                                   
2577,1,2016,NULL,28:00.0,08-01-2016,70101-6010              ,Advertising Allocation Account     ,199,DR,THE REVIEW SOLUTION/THIRD COAST INTERACTIVE  
2654,1,2020,NULL,09:00.0,11-05-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
2658,1,2020,NULL,09:00.0,10-05-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
2676,1,2016,NULL,16:00.0,06-02-2016,70101-6010              ,Advertising Allocation Account     ,4000,DR,DRIVEN LOCAL                                 
2676,2,2020,NULL,25:00.0,18-05-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
2678,1,2016,NULL,19:00.0,07-02-2016,70101-6010              ,Advertising Allocation Account     ,199,DR,THIRD INTERACTIVE LLC                        
2680,3,2020,NULL,25:00.0,18-05-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
2824,1,2020,WOA1-AM accrual for last week Sept ,39:00.0,01-10-2020,70300-6010              ,Advertising - Television           ,-2397,CR,NULL
2916,1,2020,NULL,16:00.0,19-05-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
2920,2,2020,NULL,16:00.0,19-05-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
2924,1,2020,NULL,17:00.0,20-05-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
3000,1,2016,NULL,05:00.0,06-02-2016,70500-6010              ,Advertising - Web                  ,4000,DR,GOOGLE ADW MOUNTAIN VIEW                     
3085,1,2016,NULL,40:00.0,21-01-2016,70101-6010              ,Advertising Allocation Account     ,480,DR,CLIX MARKETING GROUP INC.                    
3085,1,2020,KXAN accrual weekof 9/28/2020      ,49:00.0,01-10-2020,70300-6010              ,Advertising - Television           ,-1275,CR,NULL
3187,1,2020,NULL,31:00.0,22-05-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
3191,1,2016,NULL,07:00.0,12-01-2016,70101-6010              ,Advertising Allocation Account     ,8236.34,DR,VELOCIFY                                     
3191,2,2020,NULL,32:00.0,22-05-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
3195,1,2016,NULL,08:00.0,12-01-2016,70500-6010              ,Advertising - Web                  ,4000,DR,GOOGLE ADW MOUNTAIN VIEW                     
3199,1,2016,NULL,09:00.0,14-01-2016,70500-6010              ,Advertising - Web                  ,4000,DR,GOOGLE ADW MOUNTAIN VIEW                     
3199,1,2020,NULL,36:00.0,23-05-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
3203,1,2016,NULL,09:00.0,14-01-2016,70500-6010              ,Advertising - Web                  ,4000,DR,GOOGLE ADW MOUNTAIN VIEW                     
3203,1,2020,NULL,37:00.0,24-05-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
3247,1,2020,NULL,58:00.0,25-08-2020,70101-6010              ,Advertising Allocation Account     ,375,DR,MEDIAFORCE CREATIVE GROUP                    
3249,1,2020,NULL,59:00.0,25-08-2020,70101-6010              ,Advertising Allocation Account     ,150,DR,MEDIAFORCE CREATIVE GROUP                    
3296,3,2020,Cloudfare                          ,11:00.0,01-09-2020,70101-6010              ,Advertising Allocation Account     ,-213.2,CR,NULL
3297,4,2020,Camber Marketing                   ,11:00.0,01-09-2020,70101-6010              ,Advertising Allocation Account     ,-1095,CR,NULL
3298,5,2020,Leads Bridge                       ,11:00.0,01-09-2020,70101-6010              ,Advertising Allocation Account     ,-499,CR,NULL
3302,1,2020,KXAS accrual for 8/31/20 spots     ,14:00.0,01-09-2020,70300-6010              ,Advertising - Television           ,-3038.75,CR,NULL
3493,1,2016,NULL,14:00.0,19-02-2016,70500-6010              ,Advertising - Web                  ,4000,DR,GOOGLE ADW MOUNTAIN VIEW                     
3493,1,2020,Spectrum May accrual               ,09:00.0,31-05-2020,70300-6010              ,Advertising - Television           ,17175,DR,                                             
3495,1,2020,Spectrum May accrual               ,09:00.0,01-06-2020,70300-6010              ,Advertising - Television           ,-17175,CR,NULL
3498,1,2020,NULL,02:00.0,01-06-2020,70101-6010              ,Advertising Allocation Account     ,3837.6,DR,TOP OF MIND NETWORKS LLC                     
3500,1,2020,NULL,03:00.0,01-06-2020,70101-6010              ,Advertising Allocation Account     ,500,DR,TOP OF MIND NETWORKS LLC                     
3689,4,2020,NULL,52:00.0,23-01-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
3693,5,2020,NULL,52:00.0,23-01-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
3743,4,2020,NULL,41:00.0,02-03-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
3971,2,2016,NULL,38:00.0,09-02-2016,70200-6010              ,Advertising - Radio                ,550,DR,KLTY                                         
3984,1,2016,NULL,38:00.0,09-02-2016,70200-6010              ,Advertising - Radio                ,18955,DR,KLTY                                         
4039,1,2020,NULL,21:00.0,09-06-2020,70300-6010              ,Advertising - Television           ,17158.01,DR,SPECTRUM REACH                               
4051,1,2020,NULL,19:00.0,07-06-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
4055,1,2020,NULL,20:00.0,08-06-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
4152,1,2016,NULL,36:00.0,03-02-2016,70500-6010              ,Advertising - Web                  ,4000,DR,GOOGLE ADW MOUNTAIN VIEW                     
4156,1,2016,NULL,37:00.0,03-02-2016,70500-6010              ,Advertising - Web                  ,4000,DR,GOOGLE ADW MOUNTAIN VIEW                     
4160,1,2016,NULL,37:00.0,03-02-2016,70500-6010              ,Advertising - Web                  ,4000,DR,GOOGLE ADW MOUNTAIN VIEW                     
4164,1,2016,NULL,38:00.0,03-02-2016,70500-6010              ,Advertising - Web                  ,5034.84,DR,MICROSOFT *BING AD800-518-5689 NV            
4326,1,2020,NULL,45:00.0,08-01-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
4330,2,2020,NULL,46:00.0,08-01-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
4334,3,2020,NULL,46:00.0,08-01-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
4709,15,2016,Jan 2016 accrual reversal          ,58:00.0,01-02-2016,70101-6010              ,Advertising Allocation Account     ,-4000,CR,NULL
4908,1,2016,NULL,09:00.0,26-02-2016,70500-6010              ,Advertising - Web                  ,4000,DR,GOOGLE ADW MOUNTAIN VIEW                     
4912,1,2016,NULL,10:00.0,26-02-2016,70500-6010              ,Advertising - Web                  ,8000,DR,GOOGLE ADW MOUNTAIN VIEW                     
4986,1,2020,NULL,10:00.0,31-01-2020,70500-6010              ,Advertising - Web                  ,134.09,DR,FACEBOOK                                     
5158,1,2020,NULL,58:00.0,31-01-2020,70300-6010              ,Advertising - Television           ,17314.5,DR,KVUE-ABC                                     
5166,1,2020,NULL,58:00.0,03-02-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
5170,2,2020,NULL,58:00.0,03-02-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
5174,3,2020,NULL,58:00.0,03-02-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
5342,1,2020,NULL,24:00.0,31-01-2020,70200-6010              ,Advertising - Radio                ,1275,DR,KILTA                                        
5553,1,2016,NULL,14:00.0,15-01-2016,70500-6010              ,Advertising - Web                  ,4000,DR,GOOGLE ADW MOUNTAIN VIEW                     
5680,1,2020,NULL,42:00.0,11-02-2020,70101-6010              ,Advertising Allocation Account     ,5250,DR,"GENESIS COMMUNICATIONS, INC                  "
5689,1,2016,NULL,15:00.0,15-01-2016,70500-6010              ,Advertising - Web                  ,4000,DR,GOOGLE ADW MOUNTAIN VIEW                     
5693,1,2016,NULL,16:00.0,15-01-2016,70500-6010              ,Advertising - Web                  ,5003.27,DR,MICROSOFT *BING AD800-518-5689 NV            
5697,1,2016,NULL,24:00.0,20-01-2016,70500-6010              ,Advertising - Web                  ,4000,DR,GOOGLE ADW MOUNTAIN VIEW                     
5701,1,2016,NULL,25:00.0,20-01-2016,70500-6010              ,Advertising - Web                  ,4000,DR,GOOGLE ADW MOUNTAIN VIEW                     
5705,1,2016,NULL,25:00.0,21-01-2016,70500-6010              ,Advertising - Web                  ,4000,DR,GOOGLE ADW MOUNTAIN VIEW                     
6002,1,2016,NULL,02:00.0,05-05-2016,70200-6010              ,Advertising - Radio                ,550,DR,KLTY                                         
6004,2,2016,NULL,02:00.0,05-05-2016,70200-6010              ,Advertising - Radio                ,14216.25,DR,KLTY                                         
6401,1,2016,NULL,49:00.0,29-01-2016,70500-6010              ,Advertising - Web                  ,5152.9,DR,MICROSOFT *BING AD800-518-5689 NV            
6656,3,2020,NULL,17:00.0,02-01-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
6657,1,2016,NULL,49:00.0,30-01-2016,70500-6010              ,Advertising - Web                  ,4000,DR,GOOGLE ADW MOUNTAIN VIEW                     
6659,1,2016,NULL,50:00.0,31-01-2016,70500-6010              ,Advertising - Web                  ,4000,DR,GOOGLE ADW MOUNTAIN VIEW                     
6661,1,2016,NULL,54:00.0,29-01-2016,70500-6010              ,Advertising - Web                  ,4000,DR,GOOGLE ADW MOUNTAIN VIEW                     
6677,17,2016,January prepaid amortization       ,40:00.0,31-01-2016,70101-6010              ,Advertising Allocation Account     ,5116.8,DR,                                             
6860,1,2020,NULL,28:00.0,29-02-2020,70200-6010              ,Advertising - Radio                ,5525,DR,"KFNC-FM GOW MEDIA, LLC                       "
6907,1,2020,NULL,24:00.0,28-01-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
7214,1,2020,NULL,52:00.0,13-03-2020,70101-6010              ,Advertising Allocation Account     ,5250,DR,"GENESIS COMMUNICATIONS, INC                  "
7234,1,2020,NULL,12:00.0,27-03-2020,70101-6010              ,Advertising Allocation Account     ,162.38,DR,ZIPWHIP.COM                                  
7244,2,2020,NULL,24:00.0,28-01-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
7248,3,2020,NULL,24:00.0,28-01-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
7252,1,2020,NULL,25:00.0,29-01-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
7308,2,2020,NULL,20:00.0,21-05-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
7345,1,2020,NULL,04:00.0,16-08-2020,70500-6010              ,Advertising - Web                  ,5000,DR,"GOOGLE.COM, CA                               "
7490,1,2020,NULL,33:00.0,31-07-2020,70200-6010              ,Advertising - Radio                ,7833.6,DR,KILTA                                        
